N_nodes,lambda,h,T_max,total_healthy,total_contagious,total_ill,total_dead,total_recovered,contagious_percentage,ill_percentage,death_percentage,avg_iterations_to_die,diff_contage,diff_deaths,sum_of_diffs
3000,0.05,0.3,3,115,2885,2885,197,2688,0.96,0.96,0.07,3.17,1685,13,1698
3000,0.05,0.3,4,98,2902,2902,298,2604,0.97,0.97,0.1,3.74,1702,88,1790
3000,0.05,0.3,5,101,2899,2899,407,2492,0.97,0.97,0.14,4.38,1699,197,1896
3000,0.05,0.3,6,89,2911,2911,494,2417,0.97,0.97,0.16,5.06,1711,284,1995
3000,0.05,0.35,3,63,2937,2937,195,2742,0.98,0.98,0.07,3.15,1737,15,1752
3000,0.05,0.35,4,61,2939,2939,270,2669,0.98,0.98,0.09,3.85,1739,60,1799
3000,0.05,0.35,5,56,2944,2944,381,2563,0.98,0.98,0.13,4.37,1744,171,1915
3000,0.05,0.35,6,47,2953,2953,531,2422,0.98,0.98,0.18,5.02,1753,321,2074
3000,0.05,0.4,3,14,2986,2986,214,2772,1.0,1.0,0.07,3.21,1786,4,1790
3000,0.05,0.4,4,26,2974,2974,311,2663,0.99,0.99,0.1,3.74,1774,101,1875
3000,0.05,0.4,5,27,2973,2973,428,2545,0.99,0.99,0.14,4.46,1773,218,1991
3000,0.05,0.4,6,14,2986,2986,516,2470,1.0,1.0,0.17,4.87,1786,306,2092
3000,0.05,0.45,3,7,2993,2993,225,2768,1.0,1.0,0.07,3.26,1793,15,1808
3000,0.05,0.45,4,11,2989,2989,278,2711,1.0,1.0,0.09,3.84,1789,68,1857
3000,0.05,0.45,5,9,2991,2991,449,2542,1.0,1.0,0.15,4.35,1791,239,2030
3000,0.05,0.45,6,8,2992,2992,507,2485,1.0,1.0,0.17,5.04,1792,297,2089
3000,0.05,0.5,3,5,2995,2995,188,2807,1.0,1.0,0.06,3.24,1795,22,1817
3000,0.05,0.5,4,4,2996,2996,275,2721,1.0,1.0,0.09,3.76,1796,65,1861
3000,0.05,0.5,5,8,2992,2992,419,2573,1.0,1.0,0.14,4.49,1792,209,2001
3000,0.05,0.5,6,6,2994,2994,515,2479,1.0,1.0,0.17,4.93,1794,305,2099
3000,0.05,0.55,3,2,2998,2998,200,2798,1.0,1.0,0.07,3.21,1798,10,1808
3000,0.05,0.55,4,2,2998,2998,291,2707,1.0,1.0,0.1,3.78,1798,81,1879
3000,0.05,0.55,5,6,2994,2994,418,2576,1.0,1.0,0.14,4.34,1794,208,2002
3000,0.05,0.55,6,3,2997,2997,547,2450,1.0,1.0,0.18,4.99,1797,337,2134
3000,0.05,0.6,3,2,2998,2998,216,2782,1.0,1.0,0.07,3.16,1798,6,1804
3000,0.05,0.6,4,2,2998,2998,320,2678,1.0,1.0,0.11,3.79,1798,110,1908
3000,0.05,0.6,5,1,2999,2999,424,2575,1.0,1.0,0.14,4.43,1799,214,2013
3000,0.05,0.6,6,1,2999,2999,549,2450,1.0,1.0,0.18,4.88,1799,339,2138
3000,0.1,0.3,3,697,2303,2303,293,2010,0.77,0.77,0.1,3.1,1103,83,1186
3000,0.1,0.3,4,792,2208,2208,387,1821,0.74,0.74,0.13,3.71,1008,177,1185
3000,0.1,0.3,5,748,2252,2252,507,1745,0.75,0.75,0.17,4.25,1052,297,1349
3000,0.1,0.3,6,843,2157,2157,600,1557,0.72,0.72,0.2,4.88,957,390,1347
3000,0.1,0.35,3,259,2741,2741,322,2419,0.91,0.91,0.11,3.18,1541,112,1653
3000,0.1,0.35,4,242,2758,2758,505,2253,0.92,0.92,0.17,3.73,1558,295,1853
3000,0.1,0.35,5,226,2774,2774,659,2115,0.92,0.92,0.22,4.31,1574,449,2023
3000,0.1,0.35,6,232,2768,2768,813,1955,0.92,0.92,0.27,4.79,1568,603,2171
3000,0.1,0.4,3,84,2916,2916,326,2590,0.97,0.97,0.11,3.16,1716,116,1832
3000,0.1,0.4,4,86,2914,2914,517,2397,0.97,0.97,0.17,3.75,1714,307,2021
3000,0.1,0.4,5,69,2931,2931,673,2258,0.98,0.98,0.22,4.26,1731,463,2194
3000,0.1,0.4,6,102,2898,2898,869,2029,0.97,0.97,0.29,4.8,1698,659,2357
3000,0.1,0.45,3,81,2919,2919,307,2612,0.97,0.97,0.1,3.15,1719,97,1816
3000,0.1,0.45,4,78,2922,2922,554,2368,0.97,0.97,0.18,3.68,1722,344,2066
3000,0.1,0.45,5,86,2914,2914,693,2221,0.97,0.97,0.23,4.29,1714,483,2197
3000,0.1,0.45,6,94,2906,2906,857,2049,0.97,0.97,0.29,4.81,1706,647,2353
3000,0.1,0.5,3,26,2974,2974,391,2583,0.99,0.99,0.13,3.23,1774,181,1955
3000,0.1,0.5,4,37,2963,2963,543,2420,0.99,0.99,0.18,3.7,1763,333,2096
3000,0.1,0.5,5,36,2964,2964,679,2285,0.99,0.99,0.23,4.32,1764,469,2233
3000,0.1,0.5,6,41,2959,2959,872,2087,0.99,0.99,0.29,4.73,1759,662,2421
3000,0.1,0.55,3,14,2986,2986,366,2620,1.0,1.0,0.12,3.19,1786,156,1942
3000,0.1,0.55,4,9,2991,2991,510,2481,1.0,1.0,0.17,3.69,1791,300,2091
3000,0.1,0.55,5,17,2983,2983,753,2230,0.99,0.99,0.25,4.29,1783,543,2326
3000,0.1,0.55,6,12,2988,2988,852,2136,1.0,1.0,0.28,4.91,1788,642,2430
3000,0.1,0.6,3,5,2995,2995,367,2628,1.0,1.0,0.12,3.21,1795,157,1952
3000,0.1,0.6,4,3,2997,2997,523,2474,1.0,1.0,0.17,3.77,1797,313,2110
3000,0.1,0.6,5,3,2997,2997,698,2299,1.0,1.0,0.23,4.29,1797,488,2285
3000,0.1,0.6,6,4,2996,2996,833,2163,1.0,1.0,0.28,4.8,1796,623,2419
3000,0.15,0.3,3,1425,1575,1575,267,1308,0.53,0.53,0.09,3.17,375,57,432
3000,0.15,0.3,4,2985,15,15,3,12,0.01,0.01,0.0,3.33,1185,207,1392
3000,0.15,0.3,5,1340,1660,1660,473,1187,0.55,0.55,0.16,4.23,460,263,723
3000,0.15,0.3,6,1482,1518,1518,546,972,0.51,0.51,0.18,4.68,318,336,654
3000,0.15,0.35,3,2996,4,4,0,4,0.0,0.0,0.0,0,1196,210,1406
3000,0.15,0.35,4,1279,1721,1721,390,1331,0.57,0.57,0.13,3.61,521,180,701
3000,0.15,0.35,5,1280,1720,1720,547,1173,0.57,0.57,0.18,4.17,520,337,857
3000,0.15,0.35,6,1339,1661,1661,583,1078,0.55,0.55,0.19,4.66,461,373,834
3000,0.15,0.4,3,336,2664,2664,425,2239,0.89,0.89,0.14,3.1,1464,215,1679
3000,0.15,0.4,4,331,2669,2669,613,2056,0.89,0.89,0.2,3.66,1469,403,1872
3000,0.15,0.4,5,286,2714,2714,832,1882,0.9,0.9,0.28,4.2,1514,622,2136
3000,0.15,0.4,6,317,2683,2683,977,1706,0.89,0.89,0.33,4.68,1483,767,2250
3000,0.15,0.45,3,293,2707,2707,436,2271,0.9,0.9,0.15,3.13,1507,226,1733
3000,0.15,0.45,4,352,2648,2648,599,2049,0.88,0.88,0.2,3.66,1448,389,1837
3000,0.15,0.45,5,317,2683,2683,837,1846,0.89,0.89,0.28,4.2,1483,627,2110
3000,0.15,0.45,6,348,2652,2652,958,1694,0.88,0.88,0.32,4.67,1452,748,2200
3000,0.15,0.5,3,101,2899,2899,452,2447,0.97,0.97,0.15,3.06,1699,242,1941
3000,0.15,0.5,4,90,2910,2910,655,2255,0.97,0.97,0.22,3.72,1710,445,2155
3000,0.15,0.5,5,104,2896,2896,876,2020,0.97,0.97,0.29,4.14,1696,666,2362
3000,0.15,0.5,6,77,2923,2923,1100,1823,0.97,0.97,0.37,4.71,1723,890,2613
3000,0.15,0.55,3,29,2971,2971,551,2420,0.99,0.99,0.18,3.08,1771,341,2112
3000,0.15,0.55,4,42,2958,2958,663,2295,0.99,0.99,0.22,3.69,1758,453,2211
3000,0.15,0.55,5,36,2964,2964,876,2088,0.99,0.99,0.29,4.19,1764,666,2430
3000,0.15,0.55,6,37,2963,2963,1068,1895,0.99,0.99,0.36,4.69,1763,858,2621
3000,0.15,0.6,3,12,2988,2988,557,2431,1.0,1.0,0.19,3.15,1788,347,2135
3000,0.15,0.6,4,11,2989,2989,744,2245,1.0,1.0,0.25,3.7,1789,534,2323
3000,0.15,0.6,5,14,2986,2986,892,2094,1.0,1.0,0.3,4.15,1786,682,2468
3000,0.15,0.6,6,16,2984,2984,1117,1867,0.99,0.99,0.37,4.63,1784,907,2691
3000,0.2,0.3,3,2994,6,6,4,2,0.0,0.0,0.0,3.75,1194,206,1400
3000,0.2,0.3,4,2992,8,8,2,6,0.0,0.0,0.0,4.5,1192,208,1400
3000,0.2,0.3,5,2998,2,2,1,1,0.0,0.0,0.0,3.0,1198,209,1407
3000,0.2,0.3,6,2997,3,3,1,2,0.0,0.0,0.0,5.0,1197,209,1406
3000,0.2,0.35,3,746,2254,2254,428,1826,0.75,0.75,0.14,3.08,1054,218,1272
3000,0.2,0.35,4,818,2182,2182,581,1601,0.73,0.73,0.19,3.61,982,371,1353
